rank,id,lon,lat,area,source,
182,4040484760,63.65625,39.10208333,337555.52,hydrosheds,
183,7040192420,-98.10208333,53.32708333,335029.54,hydrosheds,
184,6040009760,-41.84375,-2.802083333,332986.46,hydrosheds,
185,4040050240,60.95208333,46.33541667,325885.84,hydrosheds,
186,1040840410,18.08958333,9.452083333,322359.9,hydrosheds,
187,4040865930,93.85625,26.85208333,320576.34,hydrosheds,
188,4040033430,68.59375,23.94375,319156.38,hydrosheds,
189,1041624310,20.20625,-28.51458333,316423.82,hydrosheds,
190,2040043720,53.95625,67.98958333,312705.44,hydrosheds,
191,4040027780,82.24375,16.71041667,310380.06,hydrosheds,
192,6040345000,-48.70625,-5.360416667,308344.94,hydrosheds,
193,1040601200,32.50625,15.63958333,308194.62,hydrosheds,
194,2040785900,44.22291667,32.59375,305975.56,hydrosheds,
195,1040040220,20.84791667,30.13125,305376.1,hydrosheds,
196,7040021740,-94.18958333,58.66875,302499.9,hydrosheds,
197,1040915980,0.089583333,7.61875,301109.66,hydrosheds,
198,3040007880,105.25625,72.77291667,300825.82,hydrosheds,
199,8040307380,-111.4145833,58.99791667,298825,hydrosheds,
200,1041139500,42.76875,0.172916667,298252.84,hydrosheds,
201,5204450,146.864,-29.9472,297850,grdc,
202,1159304,23.57510692,-29.1828515,296170,grdc,
203,6040018850,-62.16875,-39.86875,294183.04,hydrosheds,
204,4040095320,121.4895833,53.33125,293767.54,hydrosheds,
205,8040307300,-111.4104167,59.00208333,292496.94,hydrosheds,
206,4040794730,70.65208333,29.10208333,287889.84,hydrosheds,
207,7040632150,-111.8020833,36.19791667,285991.72,hydrosheds,
208,2040028310,30.25625,59.91875,285331.22,hydrosheds,
209,1041174950,16.77291667,-1.347916667,285042.84,hydrosheds,
210,2040085500,55.38125,39.36041667,281499.6,hydrosheds,
211,4040438030,80.93541667,40.48541667,277748.4,hydrosheds,
212,8040252760,-121.30625,61.85625,275685.5,hydrosheds,
213,6040562020,-43.46041667,-13.13541667,272102.68,hydrosheds,
214,7040379430,-119.0354167,46.19375,269625.12,hydrosheds,
215,8040264670,-114.1604167,61.31041667,267547.16,hydrosheds,
216,1041259950,26.91875,-5.660416667,266514,hydrosheds,
217,6040016760,-58.10208333,-32.94375,266131.56,hydrosheds,
218,4040023060,97.66041667,16.55208333,265228.4,hydrosheds,
219,1041576090,32.64375,-24.11041667,261202.82,hydrosheds,
220,7040379310,-119.03125,46.19791667,260938.7,hydrosheds,
221,6040000740,-74.84375,11.06875,260738.96,hydrosheds,
222,4040783330,113.14375,29.45625,260551.32,hydrosheds,
223,2040491980,40.90208333,47.60208333,259242.96,hydrosheds,
224,4040027940,80.83541667,15.76041667,258782.42,hydrosheds,
225,2040548700,20.27291667,45.13541667,257413.98,hydrosheds,
226,4040838850,95.27291667,27.71458333,256374.24,hydrosheds,
227,1040633540,-12.05625,14.71875,255072.1,hydrosheds,
228,6040933800,-64.98541667,-38.81458333,251775.82,hydrosheds,
229,1041515680,23.37291667,-20.13541667,251264.58,hydrosheds,
